French,English
de,of
je,I
est,East
pas,not
le,THE
que,that
la,there
vous,YOU
tu,you
un,A
c' ,vs'
à,has
et,And
il,he
a,has
l',L'
ne,born
les,THE
j',I
en,in
on,we
ça,That
une,a
d',d '
ce,This
qu',that
pour,For
ai,have
n',not'
des,of the
qui,Who
mais,but
dans,In
nous,We
elle,She
me,me
bien,GOOD
si,if
du,of
y,Y
suis,am
non,No
t',t '
avec,with
tout,All
plus,more
mon,My
m',M '
te,you
au,At
fait,do
moi,Me
s',s'
oui,Yes
va,go
était,was
as,AS
faire,TO DO
ils,they
sur,on
quoi,What
se,se
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,You
est-ce,is it
dit,said
lui,him
votre,your
es,es
pourquoi,Why
où,Or
là,there
rien,Nothing
cette,this
sont,are
quand,When
peux,can
dire,say
son,her
avez,have
vais,go
alors,SO
ton,your
comment ,how
par,by
ou,Or
chose,thing
bon,Good
ont,have
merci,THANKS
juste,just
très,very
jamais,Never
été,summer
aussi ,Also